fw_ID,model,S,connectance,mx_tl,intervality,isolated,illogical
adbm_49_10,ADBM,3,0.3333333333333333,2.5,0,0,0
adbm_49_20,ADBM,7,0.14285714285714285,3.0,0,0,0
adbm_49_40,ADBM,10,0.07,3.0,0,0,0
adbm_4_10,ADBM,4,0.1875,4.0,0,0,0
adbm_4_20,ADBM,6,0.1388888888888889,4.0,0,0,0
adbm_4_40,ADBM,2,0.25,2.0,0,0,0
adbm_50_10,ADBM,3,0.2222222222222222,3.0,0,0,0
adbm_50_20,ADBM,8,0.078125,3.0,0,0,0
adbm_50_40,ADBM,8,0.140625,3.0,0,0,0
adbm_51_10,ADBM,6,0.3611111111111111,2.783333333333333,0,0,0
adbm_51_20,ADBM,,,,,,
adbm_51_40,ADBM,,,,,,
adbm_52_10,ADBM,,,,,,
adbm_52_20,ADBM,2,0.25,2.0,0,0,0
adbm_52_40,ADBM,10,0.07,3.0,0,0,0
adbm_53_10,ADBM,7,0.16326530612244897,3.833333333333333,0,0,0
adbm_53_20,ADBM,8,0.109375,3.0,0,0,0
adbm_53_40,ADBM,8,0.109375,3.0,0,0,0
adbm_54_10,ADBM,3,0.3333333333333333,2.5,0,0,0
adbm_54_20,ADBM,6,0.1388888888888889,5.0,0,0,0
adbm_54_40,ADBM,8,0.078125,3.0,0,0,0
adbm_55_10,ADBM,,,,,,
adbm_55_20,ADBM,7,0.30612244897959184,2.566666666666667,0,0,0
adbm_55_40,ADBM,9,0.1111111111111111,3.0,0,0,0
adbm_56_10,ADBM,,,,,,
adbm_56_20,ADBM,4,0.1875,4.0,0,0,0
adbm_56_40,ADBM,7,0.08163265306122448,2.0,0,0,0
adbm_57_10,ADBM,2,0.25,2.0,0,0,0
adbm_57_20,ADBM,3,0.2222222222222222,3.0,0,0,0
adbm_57_40,ADBM,8,0.078125,3.0,0,0,0
adbm_58_10,ADBM,8,0.140625,4.0,0,0,0
adbm_58_20,ADBM,2,0.25,2.0,0,0,0
adbm_58_40,ADBM,7,0.08163265306122448,3.0,0,0,0
adbm_59_10,ADBM,3,0.2222222222222222,3.0,0,0,0
adbm_59_20,ADBM,4,0.125,2.0,0,0,0
adbm_59_40,ADBM,8,0.109375,3.0,0,0,0
adbm_5_10,ADBM,3,0.2222222222222222,3.0,0,0,0
adbm_5_20,ADBM,5,0.12,3.0,0,0,0
adbm_5_40,ADBM,14,0.09183673469387756,3.5,0,0,0
adbm_60_10,ADBM,2,0.25,2.0,0,0,0
adbm_60_20,ADBM,5,0.16,4.0,0,0,0
adbm_60_40,ADBM,,,,,,
adbm_61_10,ADBM,3,0.3333333333333333,2.5,0,0,0
adbm_61_20,ADBM,2,0.25,2.0,0,0,0
adbm_61_40,ADBM,8,0.09375,5.0,0,0,0
adbm_62_10,ADBM,6,0.1388888888888889,3.0,0,0,0
adbm_62_20,ADBM,4,0.1875,4.0,0,0,0
adbm_62_40,ADBM,,,,,,
adbm_63_10,ADBM,,,,,,
adbm_63_20,ADBM,9,0.07407407407407407,4.0,0,0,0
adbm_63_40,ADBM,7,0.08163265306122448,3.0,0,0,0
