fw_ID,model,richness,links,connectance,distance,basal,top,intermediate,diameter,herbivory,omnivory,predpreyRatio,l_S,GenSD,VulSD,TL,ChLen,ChSD,ChNum,path,LinkSD,S1,S2,S4,S5,centrality,loops,intervals,MaxSim,Clust,trophicCoherence,trophicVar
ltm_8_10,LTM,10,18,0.18,3.0,0.6,0.1,0.3,3,0.1,0.3,2.25,1.8,1.6101529717988263,0.5105203241514897,1.5705882352941176,NaN,NaN,0.0,1.2916666666666667,1.6186498802527522,0.02,0.02,0.0,0.24,6.544910179640719,0.3,0,0.6202020202020202,0.7410714285714286,0.6896276625517245,0.5698193002691272
atn_8_10,ATN,10,15,0.15,3.0,0.4,0.3,0.3,3,0.1,0.4,1.1666666666666667,1.5,1.0540925533894598,0.9558139185602919,2.1333333333333333,3.7142857142857144,0.8254203058555569,2.6390573296152584,1.48,1.405456737852613,0.12,0.1,0.03,0.05,4.194805194805194,0.0,0,0.41142857142857137,0.6714285714285715,0.5607167664526093,1.2861454046639231
adbm_8_10,ADBM,10,29,0.29,2.0,0.3,0.3,0.4,2,0.1,0.6,1.0,2.9,0.9813965152246695,0.8200486888154929,2.2535714285714286,3.0384615384615383,1.0657141297434514,3.9512437185814275,1.0,0.7930201522142686,0.03,0.43,0.1,0.21,2.818181818181818,0.0,0,0.743452380952381,0.8034391534391535,0.7299125319680628,0.8658892878138906
niche_8_10,Niche,10,12,0.12,2.0,0.4,0.5,0.1,2,0.5,0.1,0.8333333333333334,1.2,1.0243938285880985,1.2909944487358058,1.65,1.0909090909090908,0.30151134457776363,2.3978952727983707,1.0,0.8050764858994132,0.01,0.0,0.12,0.08,1.727272727272727,0.0,0,0.6566666666666667,0.0,0.2041241452319315,0.3361111111111111
cascade_8_10,Cascade,10,16,0.16,2.0,0.2,0.3,0.5,4,0.1,0.4,0.875,1.6,1.070436048222094,0.733617369235792,3.1875,3.789473684210526,1.6525719808972872,2.9444389791664403,1.1111111111111112,0.8740073734751264,0.1,0.05,0.06,0.13,0.875,0.0,1,0.37,0.3259259259259259,1.1293319374745407,2.4071180555555554
random_8_10,Random,10,22,0.22,2.0,0.2,0.1,0.7,4,0.0,0.8,1.125,2.2,0.5984368987312575,0.6356417261637282,5.328806584362141,NaN,NaN,0.0,1.7142857142857142,0.8886592908251623,0.11,0.04,0.08,0.07,2.124042879019908,0.8,4,0.3944444444444445,0.5111111111111111,2.3596726054737456,6.606026633248094
maxent_8_10,MaxEnt,10,5,0.05,2.0,0.7,0.7,-0.4,1,0.3,0.0,1.0,0.5,1.699673171197595,1.9436506316151,1.3,1.0,0.0,1.6094379124341003,1.0,2.1081851067789197,0.0,0.0,0.03,0.02,4.0,0.0,0,0.25,0.0,0.0,0.23333333333333334
ltm_9_10,LTM,10,21,0.21,2.0,0.2,0.2,0.6,3,0.0,0.7,1.0,2.1,0.6127066370037709,0.6900655593423541,3.675,2.7777777777777777,0.9718253158075502,2.1972245773362196,1.25,0.8031181359157789,0.08,0.05,0.04,0.01,1.058823529411765,0.5,2,0.36035714285714276,0.8148148148148149,1.1700630833624392,3.5562499999999986
atn_9_10,ATN,10,11,0.11,1.0,0.3,0.2,0.5,5,0.1,0.2,1.1428571428571428,1.1,0.9040262963743211,0.7959954870644664,3.1833333333333327,5.25,0.4629100498862757,2.0794415416798357,1.1538461538461537,1.2712834523274563,0.11,0.02,0.02,0.03,1.2058823529411766,0.0,0,0.4333333333333333,0.27777777777777773,0.24618298195866545,3.515123456790122
adbm_9_10,ADBM,10,17,0.17,1.0,0.3,0.3,0.4,3,0.1,0.3,1.0,1.7,1.1781034420235137,0.9625833496967512,3.0347222222222223,4.461538461538462,1.1266014242982163,2.5649493574615367,1.105263157894737,1.364119774974595,0.06,0.17,0.01,0.07,1.5,0.0,0,0.45,0.780952380952381,0.6874319138398924,2.7278485082304513
niche_9_10,Niche,10,3,0.03,2.0,0.8,0.7,-0.5,1,0.2,0.0,1.5,0.3,2.249828525701843,1.6101529717988263,1.2,1.0,0.0,1.0986122886681098,1.0,2.330686329267004,0.0,0.0,0.0,0.01,5.666666666666666,0.0,0,0.2,0.0,0.0,0.17777777777777784
cascade_9_10,Cascade,10,5,0.05,3.0,0.6,0.6,-0.2,2,0.2,0.1,1.0,0.5,1.4142135623730951,1.4142135623730951,1.55,1.6666666666666667,0.5773502691896257,1.0986122886681098,1.1666666666666667,1.885618083164127,0.02,0.0,0.01,0.01,2.076923076923077,0.0,0,0.13333333333333333,0.0,0.31622776601683794,0.5805555555555556
random_9_10,Random,10,6,0.06,3.0,0.7,0.5,-0.2,2,0.2,0.1,1.6666666666666667,0.6,1.7916128329552332,1.165343164633502,1.3333333333333333,1.4,0.5477225575051661,1.6094379124341003,1.25,1.892154040658489,0.02,0.0,0.01,0.04,5.086956521739131,0.0,0,0.36666666666666664,0.0,0.33333333333333337,0.2962962962962963
maxent_9_10,MaxEnt,10,6,0.06,2.0,0.7,0.7,-0.4,1,0.3,0.0,1.0,0.6,1.7916128329552332,1.7916128329552332,1.3,1.0,0.0,1.791759469228055,1.0,2.0487876571761974,0.0,0.0,0.04,0.04,4.454545454545454,0.0,0,0.3666666666666666,0.0,1.5700924586837752e-16,0.23333333333333328
ltm_10_10,LTM,10,17,0.17,1.0,0.2,0.2,0.6,3,0.0,0.6,1.0,1.7,0.6820598874872975,0.8790788929984272,0.24450663349917087,1.0,0.0,0.0,1.2608695652173914,1.0449343211352335,0.08,0.03,0.07,0.04,2.098106712564544,0.5,0,0.3985714285714285,0.2791666666666667,0.8149189856873512,0.9542667918660186
atn_10_10,ATN,10,15,0.15,1.0,0.2,0.1,0.7,5,0.1,0.5,1.125,1.5,0.7200822998230957,0.6478835438717,3.483333333333333,5.222222222222222,0.7320844981409595,2.8903717578961645,1.3636363636363635,0.6285393610547091,0.11,0.06,0.02,0.03,1.6666666666666667,0.0,0,0.5066666666666667,0.5925925925925926,0.4346134936801766,3.545987654320988
adbm_10_10,ADBM,10,22,0.22,4.0,0.2,0.2,0.6,3,0.1,0.5,1.0,2.2,0.9040262963743211,0.9772433634301273,3.5916666666666663,5.0,0.8728715609439694,3.091042453358316,1.4848484848484849,1.1175205402779256,0.07,0.3,0.04,0.01,3.5047533923783214,0.0,0,0.5339285714285714,0.8,0.6306562238868912,2.959027777777777
niche_10_10,Niche,10,35,0.35,2.0,0.2,0.2,0.6,2,0.1,0.7,1.0,3.5,0.8109231602822096,0.7648751621051909,2.4168898809523807,3.074074074074074,0.9718253158075499,4.394449154672439,1.0789473684210527,0.46656947481584343,0.06,0.6,0.16,0.2,3.179104477611941,0.0,0,0.7813095238095238,0.8398412698412698,0.6591687468254113,0.7407756856359442
