fw_ID,model,S_equ,connectance_equ,prop_basal_equ,mx_tl_equ,mean_FCL_equ,closed_loops_equ,isolated_equ,illogical_equ
ltm_laura_52,LTM_Laura,12,0.1527777777777778,0.0,1.3472222222222223,NaN,2,0,
ltm_laura_53,LTM_Laura,6,0.16666666666666666,0.16666666666666666,1.3333333333333333,1.0,1,0,
ltm_laura_54,LTM_Laura,8,0.15625,0.125,1.28125,2.0,2,0,
ltm_laura_55,LTM_Laura,8,0.125,0.125,1.1875,2.25,0,0,
ltm_laura_56,LTM_Laura,12,0.1111111111111111,0.16666666666666666,1.236111111111111,4.95,1,0,
ltm_laura_57,LTM_Laura,9,0.16049382716049382,0.1111111111111111,1.1851851851851851,2.2,1,0,
ltm_laura_58,LTM_Laura,2,0.25,0.5,1.25,1.0,0,0,
ltm_laura_59,LTM_Laura,13,0.10059171597633136,0.15384615384615385,1.1479289940828399,2.0,2,0,
ltm_laura_6,LTM_Laura,5,0.24,0.2,1.32,2.0,0,0,
ltm_laura_60,LTM_Laura,6,0.16666666666666666,0.16666666666666666,1.2222222222222223,1.0,1,0,
ltm_laura_61,LTM_Laura,6,0.1388888888888889,0.16666666666666666,1.2222222222222223,1.0,1,0,
ltm_laura_62,LTM_Laura,0,0.0,0.0,NaN,NaN,0,0,
ltm_laura_63,LTM_Laura,15,0.14222222222222222,0.13333333333333333,1.2666666666666666,4.191919191919192,1,0,
ltm_laura_64,LTM_Laura,8,0.171875,0.25,1.28125,1.7777777777777777,1,0,
ltm_laura_65,LTM_Laura,11,0.10743801652892562,0.2727272727272727,1.1818181818181819,1.8571428571428572,2,0,
ltm_laura_66,LTM_Laura,7,0.16326530612244897,0.14285714285714285,1.204081632653061,2.75,0,0,
ltm_laura_67,LTM_Laura,6,0.08333333333333333,0.5,1.0833333333333333,1.0,0,0,
ltm_laura_68,LTM_Laura,2,0.25,0.5,1.25,1.0,0,0,
ltm_laura_69,LTM_Laura,5,0.12,0.4,1.16,1.5,0,0,
ltm_laura_7,LTM_Laura,9,0.12345679012345678,0.3333333333333333,1.1481481481481481,1.7142857142857142,1,0,
ltm_laura_70,LTM_Laura,4,0.25,0.25,1.3125,1.3333333333333333,0,0,
ltm_laura_71,LTM_Laura,9,0.1111111111111111,0.1111111111111111,1.1358024691358024,2.0,2,0,
ltm_laura_72,LTM_Laura,8,0.3125,0.0,1.5,NaN,2,0,
ltm_laura_73,LTM_Laura,11,0.2396694214876033,0.0,1.4049586776859504,NaN,6,0,
ltm_laura_74,LTM_Laura,6,0.2222222222222222,0.0,1.3333333333333333,NaN,2,0,
ltm_laura_75,LTM_Laura,8,0.125,0.375,1.15625,1.5,0,0,
ltm_laura_76,LTM_Laura,12,0.1388888888888889,0.16666666666666666,1.215277777777778,3.8181818181818183,0,0,
ltm_laura_77,LTM_Laura,7,0.20408163265306123,0.2857142857142857,1.2857142857142858,1.7777777777777777,0,0,
ltm_laura_78,LTM_Laura,8,0.21875,0.25,1.34375,2.4285714285714284,2,0,
ltm_laura_79,LTM_Laura,8,0.078125,0.375,1.09375,1.25,0,0,
ltm_laura_8,LTM_Laura,3,0.2222222222222222,0.3333333333333333,1.222222222222222,1.0,0,0,
ltm_laura_80,LTM_Laura,12,0.125,0.25,1.2708333333333333,4.321428571428571,1,0,
ltm_laura_81,LTM_Laura,9,0.09876543209876543,0.2222222222222222,1.148148148148148,2.0,0,0,
ltm_laura_82,LTM_Laura,4,0.25,0.25,1.3125,1.3333333333333333,0,0,
ltm_laura_83,LTM_Laura,8,0.203125,0.0,1.328125,NaN,7,0,
ltm_laura_84,LTM_Laura,7,0.24489795918367346,0.14285714285714285,1.4285714285714286,2.6666666666666665,0,0,
ltm_laura_85,LTM_Laura,3,0.2222222222222222,0.3333333333333333,1.222222222222222,1.0,0,0,
