fw_ID,model,S_initial,connectance_initial,prop_basal_initial,mx_tl_initial,mean_FCL_initial,closed_loops_initial,isolated_initial,illogical_initial
atn_8,ATN,15,0.18222222222222223,0.06666666666666667,1.3555555555555554,4.398809523809524,0,0,1
adbm_8,ADBM,15,0.24,0.06666666666666667,1.4711111111111108,4.32,0,0,1
niche_8,Niche,15,0.21333333333333335,0.2,1.3244444444444443,3.4301075268817205,0,2,
cascade_8,Cascade,15,0.2,0.2,1.3866666666666665,3.5656565656565657,0,0,
random_8,Random,15,0.20444444444444446,0.06666666666666667,1.3777777777777775,4.5,700,0,
maxent_8,MaxEnt,15,0.13777777777777778,0.4,1.2,2.236842105263158,2,0,
ltm_9,LTM,15,0.27555555555555555,0.0,1.5599999999999998,NaN,583,0,0
atn_9,ATN,15,0.12,0.13333333333333333,1.231111111111111,5.185714285714286,0,0,2
adbm_9,ADBM,15,0.24,0.2,1.328888888888889,4.132231404958677,0,1,2
niche_9,Niche,15,0.03111111111111111,0.7333333333333333,1.031111111111111,0.5384615384615384,0,6,
cascade_9,Cascade,15,0.057777777777777775,0.4,1.102222222222222,1.7692307692307692,0,3,
random_9,Random,15,0.057777777777777775,0.4,1.102222222222222,1.7777777777777777,0,1,
maxent_9,MaxEnt,15,0.05333333333333334,0.5333333333333333,1.062222222222222,1.0,0,2,
ltm_10,LTM,15,0.23555555555555555,0.0,1.631111111111111,NaN,218,0,0
atn_10,ATN,15,0.11555555555555555,0.2,1.3244444444444445,0.0,0,1,2
adbm_10,ADBM,15,0.16,0.26666666666666666,1.1866666666666665,5.357142857142857,0,1,3
niche_10,Niche,15,0.1511111111111111,0.4666666666666667,1.208888888888889,1.8148148148148149,0,1,
cascade_10,Cascade,15,0.1511111111111111,0.13333333333333333,1.2311111111111113,3.7049180327868854,0,0,
random_10,Random,15,0.1511111111111111,0.06666666666666667,1.4177777777777778,6.333333333333333,25,0,
maxent_10,MaxEnt,15,0.08444444444444445,0.5333333333333333,1.1377777777777778,1.6956521739130435,1,3,
