fw_ID,model,richness_equilibrium,connectance_equilibrium,persistence,max_trophic_level,total_biomass,cv_total_biomass,shannon,evenness,resilience,reactivity
cascade_7,Cascade,6.0,0.222,0.4,2.5,2.9350012182498357,1.4247741189343184e-6,1.5748602389546398,0.878946234693621,-0.006302523705620705,0.040054160439544434
cascade_8,Cascade,6.0,0.167,0.4,3.0,2.975303823093614,5.8210036651371024e-8,1.5845695526150592,0.8843651058240203,-0.012455420385663999,0.016455722616038886
cascade_9,Cascade,6.0,0.139,0.4,2.333333333333333,4.122955107123656,7.552816497791394e-10,1.691448340900896,0.9440152933192667,-0.013921841916761907,0.01162194528635509
ltm_1,LTM,6.0,0.167,0.4,2.0,1.2337339889674674,0.000284004951303032,0.7831218243812476,0.4370686120713739,-0.001800973322343037,0.4734405184199306
ltm_10,LTM,5.0,0.24,0.3333333333333333,2.833333333333333,2.0028332466854923,0.00043457183761228755,0.7220469962130036,0.4486330231409709,-0.0007129645286906816,-0.0007124921879665779
ltm_2,LTM,3.0,0.222,0.2,2.0,0.1524267746836242,0.0010734529308753299,0.8088910554387385,0.7362843687279236,-0.18128015977480455,1.1854716093135824
ltm_3,LTM,7.0,0.224,0.4666666666666667,2.6315789473684212,1.6737937757985377,6.118600022461581e-7,1.2476222217133872,0.6411509916421753,-0.0015688589262588864,0.08212455375786437
ltm_4,LTM,9.0,0.148,0.6,11.0,2.4768624558939645,0.00017021502888162402,1.4155732305030564,0.6442551412833779,-0.001002392435978747,0.05373261454667837
ltm_5,LTM,10.0,0.22,0.6666666666666666,2.225835591689247,2.4446444681438324,2.7109157756266367e-5,1.5649077788704633,0.6796308130509163,-0.0006173239494567356,0.0036612354217681275
ltm_6,LTM,5.0,0.24,0.3333333333333333,2.25,1.2934025806898146,4.469240517734076e-14,1.4256212106707293,0.8857882616388922,-0.037267513643289556,0.02018665668142104
ltm_7,LTM,4.0,0.25,0.26666666666666666,2.5,0.5258993346864511,9.30675809060908e-16,1.160439983918614,0.8370805050243264,-0.05913448907588612,0.2338167067093784
ltm_8,LTM,8.0,0.234,0.5333333333333333,4.25,3.614114555429464,3.999636491514123e-11,1.7412975081386235,0.8373870932346339,-0.01950766133000761,0.006988196313692678
ltm_9,LTM,7.0,0.204,0.4666666666666667,3.6,3.465266524476518,9.072755673374715e-12,1.642105587098341,0.8438753392059437,-0.02794549405434916,0.08258354795278579
maxent_1,MaxEnt,14.0,0.184,0.9333333333333333,56.63963963963958,9.590064252203486,1.4204523304859224e-14,2.5702638286345456,0.9739325477287976,1.4170404606910913e-23,0.0085819876892573
maxent_10,MaxEnt,7.0,0.102,0.4666666666666667,2.5,5.772621944012603,1.1508257736683132e-9,1.7160209467151162,0.8818603199886685,-0.013628970137661851,0.008102358022504783
maxent_2,MaxEnt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN
maxent_3,MaxEnt,13.0,0.195,0.8666666666666667,7.6423841059602635,2.868509275570902,0.005830988560264555,1.4197036113039494,0.55350161482681,-0.00025764040296796244,0.008583905698434317
maxent_4,MaxEnt,6.0,0.194,0.4,3.0,2.0747847355977895,7.175774437447576e-7,1.5665739079602705,0.8743215453105425,-0.002595723731092804,0.046688634855313785
maxent_5,MaxEnt,9.0,0.111,0.6,3.571428571428571,6.68383394809316,1.5374860556342043e-7,1.9218140461098852,0.8746552655258275,-0.001455729459924649,0.02183304210310193
maxent_6,MaxEnt,14.0,0.143,0.9333333333333333,66.99999999999986,10.589920552049959,1.3944683115666258e-15,2.586833750982664,0.980211275425302,-3.140026286741903e-34,0.008581987689256925
maxent_7,MaxEnt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN
maxent_8,MaxEnt,6.0,0.222,0.4,2.7499999999999996,2.0574696231942124,5.265611088747513e-5,1.3553248745927358,0.7564212149394424,-0.08574808540763541,0.1162021415825871
maxent_9,MaxEnt,13.0,0.071,0.8666666666666667,3.0,7.4014805282596114,3.832135012247466e-8,2.3707305961849796,0.9242796896899476,-1.4110898449805232e-10,0.029820894022207896
niche_1,Niche,5.0,0.24,0.3333333333333333,3.0,1.6618999891765345,3.244251273892963e-14,1.3706644164456712,0.8516416854954596,5.362972454381891e-15,0.027699377256439627
niche_10,Niche,10.0,0.13,0.6666666666666666,3.1,6.23211348395365,2.3359891773887615e-7,2.1459049918620092,0.9319546966543131,-0.008902808082870764,0.006946458919135247
niche_2,Niche,10.0,0.25,0.6666666666666666,2.333333333333333,5.611793186712164,3.7157506541775672e-9,2.13433255878244,0.9269288528256615,2.6849478327851957e-10,0.0143009459939306
niche_3,Niche,5.0,0.24,0.3333333333333333,3.25,2.693723775804236,1.7083518138444637e-6,1.3720013431816052,0.8524723647814422,-0.004104661643553794,0.002877418889210473
niche_4,Niche,3.0,0.333,0.2,2.5,1.5514816349123526,8.342729570688915e-10,0.9991372432949659,0.90945391163088,-0.01645877926153992,0.013237642812496847
niche_5,Niche,10.0,0.12,0.6666666666666666,3.0,6.068439092930079,1.5073217628326257e-9,1.893045599853353,0.8221392580075425,8.707161578537222e-17,0.017043059862103166
niche_6,Niche,9.0,0.136,0.6,2.5,4.066318148442628,1.0896756906743643e-7,1.7941619223010883,0.8165582802993312,1.4180979380383365e-8,0.01991414873546296
niche_7,Niche,6.0,0.222,0.4,2.5,3.17571126622748,2.692342533251575e-7,1.5533228489975879,0.8669259884904122,-0.0003952567605720039,0.047144396588437755
niche_8,Niche,11.0,0.298,0.7333333333333333,2.9,4.9043386867081455,3.194270047427428e-5,2.156357965093467,0.8992711189496501,4.774413388133828e-6,0.02440829428590953
niche_9,Niche,9.0,0.086,0.6,2.0,6.2875446975503895,5.47882611773423e-11,2.0141506618707963,0.916679470385603,2.8987973745332793e-13,0.04702959564164244
random_1,Random,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
random_10,Random,15.0,0.151,1.0,19.272727272727263,7.7499962047113495,1.9054615580926386e-5,2.521009192046189,0.9309314838477171,-2.3197179949496142e-10,-2.319715394725032e-10
random_2,Random,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
random_3,Random,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
random_4,Random,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
random_5,Random,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
random_6,Random,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
random_7,Random,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
random_8,Random,15.0,0.204,1.0,54.00843487626681,7.205619723730501,0.00010083581174678662,2.4603019284319583,0.9085141506721643,-2.3560616158777635e-27,5.123881506663915e-25
random_9,Random,10.0,0.07,0.6666666666666666,3.0,5.849332391485897,1.0248152941129249e-8,1.8413201218967885,0.7996751683571982,-0.000347505699435078,0.03228882299302271
