fw_ID,model,richness,connectance,complexity,trophic_level,generality,vulnerability,top,ChLen,distance,centrality,clustering,trophicCoherence
niche_50,Niche,6,0.1111111111111111,0.9870558585867127,1.1666666666666667,0.7745966692414834,1.224744871391589,0.5,1.6666666666666667,1.0,0.8000000000000002,0.0,1.2819751242557092e-16
niche_51,Niche,12,0.1388888888888889,0.907170941842709,1.201388888888889,1.0954451150103324,0.7816067367347155,0.25,2.4814814814814814,2.0,1.7272727272727277,0.25357142857142856,0.2655610303088791
niche_52,Niche,6,0.1111111111111111,0.9870558585867127,1.1666666666666667,0.7745966692414834,1.224744871391589,0.5,1.6666666666666667,2.0,1.2500000000000002,0.0,1.2819751242557092e-16
niche_53,Niche,3,0.2222222222222222,NaN,1.222222222222222,0.8660254037844386,1.7320508075688772,0.6666666666666666,1.0,2.0,0.5,0.0,0.0
niche_54,Niche,6,0.16666666666666666,0.9471307568930448,1.222222222222222,0.8944271909999159,1.0954451150103321,0.3333333333333333,1.75,3.0,1.2500000000000002,0.0,0.12546210878484673
niche_55,Niche,4,0.1875,NaN,1.1875,0.6666666666666666,2.0,0.75,1.0,2.0,0.3333333333333333,0.0,0.0
niche_56,Niche,6,0.19444444444444445,0.9419285168991623,1.2777777777777777,1.0020387381000102,0.8427360687858643,0.3333333333333333,2.0,2.0,2.0361445783132526,0.25,0.3526168236749691
niche_57,Niche,11,0.09917355371900827,0.9375582421015562,1.1983471074380168,0.8652231568278275,1.3874436925511608,0.45454545454545453,3.0,2.0,2.3611111111111107,0.0,0.16196730677767487
niche_58,Niche,5,0.2,0.9182958340544897,1.28,1.0,1.0,0.4,1.5,3.0,1.8571428571428572,0.0,0.16733200530681516
niche_59,Niche,10,0.16,0.9163618855570085,1.24,0.8436856971381911,1.1102427162061856,0.2,2.0,3.0,1.1428571428571428,0.13,0.22794370650082296
niche_6,Niche,6,0.19444444444444445,0.9431142303682516,1.3055555555555556,0.8427360687858642,1.0020387381000102,0.3333333333333333,2.0,1.0,0.3846153846153846,0.0,0.3563483225498991
niche_60,Niche,8,0.171875,0.895944773397572,1.234375,1.0952295398601566,0.8638072284839422,0.25,1.875,2.0,1.5945945945945947,0.39999999999999997,0.3345621290310937
niche_61,Niche,10,0.24,0.8617879722993417,1.3400000000000003,0.9662515072736715,0.7136240321480628,0.2,2.2413793103448274,2.0,2.0434782608695654,0.4314285714285714,0.23031169805476573
