model,richness,connectance,complexity,trophic_level,generality,vulnerability,top,ChLen,distance,centrality,clustering,trophicCoherence
LTM,15,0.26666666666666666,0.8569930241241638,1.5777777777777773,0.8183170883849714,0.6123724356957945,0.06666666666666667,0.0,2.0,4.923617960748886,0.7375132275132276,0.4815999178298674
ATN,15,0.1288888888888889,0.9218273349122049,1.182222222222222,0.862561435689095,0.7688517444384895,0.2,5.352941176470588,2.0,1.7595269382391594,0.23047619047619047,0.2220716512329648
ADBM,15,0.25333333333333335,0.838083174942849,1.3733333333333335,1.0153160297586772,0.8031398612467118,0.13333333333333333,5.736526946107785,2.0,1.7921406411582212,0.6776719576719576,0.362695899111812
LTM,15,0.28888888888888886,0.8647519378010443,1.6222222222222222,0.6269517285976226,0.4830167247436464,0.06666666666666667,4.918918918918919,2.0,1.7785796766743645,0.6539345839345839,0.4748211539149537
ATN,15,0.1288888888888889,0.9252533681137967,1.3155555555555554,0.926645374130242,0.7688517444384895,0.2,5.353535353535354,6.0,3.076310732912434,0.40444444444444444,0.24648597651267226
ADBM,15,0.2088888888888889,0.8444761652333805,1.3822222222222222,1.1749008057078378,0.8345665496204168,0.2,3.89247311827957,2.0,1.9103788112103486,0.5423809523809524,0.3646469758557166
LTM,15,0.2311111111111111,0.9024086729678078,1.4755555555555553,0.9178250320830077,0.6619967106945579,0.0,NaN,2.0,4.052425816676939,0.6898075998075996,0.6614514462553619
ATN,15,0.1288888888888889,0.9075625550056696,1.2399999999999998,0.8170511719788857,0.6324823896055941,0.2,3.2857142857142856,3.0,2.5001571338780644,0.0,0.2777460299317654
ADBM,15,0.24888888888888888,0.8128943394755188,1.4266666666666663,1.2210570505507548,0.6751052719982886,0.2,2.5,3.0,1.5126658271590476,0.4957142857142857,0.4258799565296978
LTM,15,0.27555555555555555,0.8842646636820969,1.6666666666666667,0.8069123108059276,0.43727231328148247,0.0,NaN,3.0,2.848141431890413,0.6097017797017796,0.6442557838410401
ATN,15,0.1111111111111111,0.9556920703425162,1.1777777777777776,0.740656079818041,0.7406560798180412,0.2,4.73469387755102,2.0,2.4017278617710587,0.21777777777777776,0.12394742015452745
ADBM,15,0.16444444444444445,0.8697023273946337,1.2044444444444442,1.2149285332546131,0.7793108957215579,0.26666666666666666,3.7083333333333335,2.0,1.4827586206896552,0.28285714285714286,0.24179564056960398
LTM,15,0.27111111111111114,0.8618483978029049,1.5244444444444445,0.6266989424592917,0.8074023106165875,0.0,NaN,3.0,1.7402173249496369,0.6280327080327079,0.42938795204059926
ATN,15,0.15555555555555556,0.9051133088575116,1.208888888888889,0.8364857768130284,0.8520255406182898,0.26666666666666666,5.243243243243243,1.0,1.9039089470308184,0.39492063492063495,0.0872015384611457
ADBM,15,0.24444444444444444,0.8293314287941017,1.3599999999999999,0.9372269378009723,0.9372269378009723,0.2,5.472049689440993,3.0,2.1743123468382843,0.6692688792688792,0.21463129278921475
