fw_ID,model,richness,connectance,complexity,max_trophic_level,generality,vulnerability,top,ChLen,distance,centrality,clustering,trophicCoherence,S_initial,connectance_initial,prop_basal_initial,mx_tl_initial,mean_FCL_initial,closed_loops_initial,isolated_initial,illogical_initial
ltm_56,LTM,15,0.28888888888888886,0.8345803536714956,4.694518240339424,0.6793662204867575,0.6208548084318917,0.06666666666666667,4.407407407407407,3.0,2.8691307018033614,0.5799086099086099,1.4920731916404226,15,0.28888888888888886,0.06666666666666667,4.694518240339424,4.407407407407407,276,0,1
ltm_laura_56,LTM_Laura,15,0.10222222222222223,0.944451922926357,6.9375,0.8491389739197205,0.48471088236339555,0.06666666666666667,7.101694915254237,2.0,2.224155578300921,0.31555555555555553,1.3916008875762584,15,0.10222222222222223,0.06666666666666667,6.9375,7.101694915254237,1,0,1
atn_56,ATN,15,0.09777777777777778,0.943657837343984,5.270833333333333,1.0892845046154276,0.5685064007950854,0.06666666666666667,5.402985074626866,4.0,4.523012552301255,0.3422222222222222,0.8567487830061621,15,0.09777777777777778,0.06666666666666667,5.270833333333333,5.402985074626866,0,0,1
adbm_56,ADBM,15,0.1511111111111111,0.8467082812105703,3.8333333333333335,1.3179152638200928,1.0737740022965303,0.26666666666666666,3.86,3.0,2.930131004366813,0.4907407407407407,0.9624691170872972,15,0.1511111111111111,0.26666666666666666,3.8333333333333335,3.86,0,3,3
niche_56,Niche,15,0.2222222222222222,0.885012192859756,4.5096726190476195,0.8306623862918076,0.648074069840786,0.13333333333333333,4.402654867256637,3.0,3.066511315612781,0.5978210678210677,0.6698342764420122,15,0.2222222222222222,0.13333333333333333,4.5096726190476195,4.402654867256637,0,0,
cascade_56,Cascade,15,0.29333333333333333,0.8613784968059308,4.460282738095239,0.6530737422902173,0.6914898447778771,0.13333333333333333,5.225225225225225,2.0,3.4957520158691224,0.5988359788359787,0.8572064436872544,15,0.29333333333333333,0.13333333333333333,4.460282738095239,5.225225225225225,0,0,
random_56,Random,15,0.28,0.9085284034360371,2.2612424767599036e16,0.3732208632474885,0.5339161053156077,0.06666666666666667,NaN,1.0,3.444568582106483,0.5369841269841269,3.2521606508795884,15,0.28,0.06666666666666667,2.2612424767599036e16,NaN,14192,0,
maxent_56,MaxEnt,15,0.16,0.9049752805298925,8.962962962962962,0.7842699567619335,1.0773645092141684,0.2,3.814814814814815,1.0,2.6801996760574607,0.4470899470899471,2.047054094482876,15,0.16,0.2,8.962962962962962,3.814814814814815,5,0,
ltm_57,LTM,15,0.35555555555555557,0.83269146862561,4.5409211253281425,0.667317390751957,0.5474168234274761,0.0,NaN,3.0,1.5736118676107782,0.7598438598438599,1.4475650095907102,15,0.35555555555555557,0.0,4.5409211253281425,NaN,958,0,0
ltm_laura_57,LTM_Laura,15,0.12,0.9291930456055538,2.2367365436908178,1.0951230673435135,0.7027283689263065,0.13333333333333333,2.3846153846153846,2.0,3.764250930965339,0.31777777777777777,0.9365925814605284,15,0.12,0.13333333333333333,2.2367365436908178,2.3846153846153846,6,0,2
atn_57,ATN,15,0.1288888888888889,0.9063990377666985,3.254166666666667,1.1139433167476647,0.4131768810610243,0.06666666666666667,4.463917525773196,3.0,5.500328299409061,0.5923809523809525,0.8483971450764138,15,0.1288888888888889,0.06666666666666667,3.254166666666667,4.463917525773196,0,0,1
