model,richness,connectance,complexity,trophic_level,generality,vulnerability,top,ChLen,distance,centrality,clustering,trophicCoherence
adbm_49,10,0.09,0.9519113620971497,1.27,1.330243333042072,1.3302433330420722,0.4,2.142857142857143,1.0,3.8,0.38,0.5937171043518958
adbm_5,10,0.25,0.781011599951655,1.3800000000000001,1.0022197585581938,1.0022197585581938,0.4,2.56,2.0,1.9411764705882355,0.6914285714285715,0.2844878439113583
adbm_50,10,0.11,0.9466214915463596,1.24,1.0883809088526042,1.0883809088526042,0.3,2.4285714285714284,3.0,1.9268292682926829,0.4066666666666666,0.368288424521276
adbm_51,9,0.14814814814814814,0.9029353425964486,1.1975308641975309,1.1858541225631423,0.9185586535436918,0.3333333333333333,1.7777777777777777,2.0,0.9999999999999999,0.29629629629629634,0.1943843100856708
adbm_52,7,0.061224489795918366,0.9999999999999998,1.0816326530612244,1.247219128924647,1.247219128924647,0.5714285714285714,0.75,2.0,2.0,0.0,0.0
adbm_53,9,0.13580246913580246,0.8952058382943708,1.1604938271604937,1.5726221720005629,0.8941961624048181,0.3333333333333333,2.2222222222222223,2.0,1.6341463414634148,0.5185185185185185,0.33834614594836815
adbm_54,7,0.14285714285714285,0.8685893832533697,1.2040816326530612,1.0,1.4142135623730951,0.5714285714285714,1.2857142857142858,2.0,2.5,0.0,0.10798984943120779
adbm_55,10,0.14,0.9000689695735454,1.19,1.2233554836823932,1.0213147899774866,0.3,1.8181818181818181,2.0,1.5862068965517244,0.43666666666666665,0.23204774044612855
adbm_56,15,0.21777777777777776,0.8266618685767638,1.3111111111111111,1.1005010298988696,0.7887092214327829,0.2,3.317073170731707,2.0,1.6403855801164615,0.5855026455026455,0.29656002057760356
adbm_57,6,0.08333333333333333,0.9786600843501594,1.0833333333333333,1.6733200530681511,1.0954451150103321,0.5,0.75,2.0,2.9999999999999996,0.0,0.09622504486493753
adbm_58,5,0.12,0.8504896251021615,1.1600000000000001,1.4907119849998598,1.4907119849998598,0.6,0.75,2.0,2.333333333333333,0.6,0.20000000000000007
adbm_59,9,0.12345679012345678,0.9561383657251775,1.2098765432098766,1.1423659658795862,0.7035623639735145,0.2222222222222222,2.5,2.0,1.9189189189189189,0.25925925925925924,0.27814790156323826
