metric,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,contribution
basal,-0.20170304187796284,-0.03444688607668139,0.3627381070162581,-0.08355094244986522,-8.846185794276068e-5,0.15444448849753892,-0.059188938548326415,0.0438433720570234,-0.06626114871560605,-0.025810674005363243,-0.05108951151396824,-0.12432417106369503,0.20337605023918867,0.010972823439950846,0.008668163273704241,0.1846750739057704,0.17660567000484614,0.13854687975672134,0.06585525654655655,0.1916632193908653,-0.09464730409640236,0.004412389925471949,0.06374922587178818,-0.1711422170644635,-0.4381515781596192,0.17446935848043946,0.36227635128869917,-0.07061547905826654,-0.027497373156445744,-0.03217723041098218,0.44416107506515096,8.215168895397404
centrality,0.19818029280208607,-0.08184873480164279,0.1804703594415641,-0.21315077115816844,-0.004894703799199666,0.17869318158033415,-0.0806528258753455,0.04098445637139126,-0.2587417735329405,0.1324110629519001,-0.17452570852349183,-0.21574920916578647,0.26535673127014053,0.05437829322887184,0.31517459934883807,-0.48722655656832914,0.05111830892750414,-0.44474737234351003,0.15342669857687702,-0.16516560688837661,-0.0060116557042402,-0.06535727893233513,0.053987677655622276,-0.006599737781939009,0.021731178907018752,-0.01644035433820294,-0.04975294758566516,-0.028654119100432196,-0.0393437489003989,0.014639344937770547,-5.1032849308056233e-17,8.119694213208291
S2,0.18524641687979823,0.31997503862716686,0.10317820067499021,-0.040907884213535264,-0.02527179342611147,-0.19789272844072375,-0.05012011779782195,0.034350201690932884,0.10587845515180946,-0.10666483589027477,0.2616836332104086,-0.2292085370270168,-0.09439024446325671,-0.023428882720941974,0.04628369409867851,-0.08909622812085993,0.41143515107274253,0.020293331971095625,0.02272797435225487,0.1391544515142056,0.38583948976307497,0.1691958099029587,0.313359401153524,0.31048210680601995,-0.021730050655999384,0.014068156093312847,0.05144097397670491,0.11179084893590581,-0.20900320229748665,0.1522744179736864,-5.540298284848055e-18,7.833245168847936
path,0.18107964231078935,-0.33036322595050105,-0.10720335164190214,-0.05911615372431424,0.021356995095950303,0.16394277304894006,0.0766354256975251,-0.0644630296868558,-0.1288433420727535,0.12263237441491848,0.061370281904928645,-0.05284587068637641,0.15941123749567637,-0.09692062711430934,-0.12350348808661991,-0.3609104948731591,0.17999450688783922,0.5098188677611595,-0.5291881365910694,0.006586060937718369,0.09696457420290013,-0.03762175678483139,0.011392321057346113,0.02268751836227536,-0.02212983534393774,-0.011173377272386802,0.014923063751998044,0.011349974410097921,0.0369873547785224,-0.03185742678897754,1.6159777569633714e-16,7.67463627954219
diameter,0.18023436546331564,-0.34437120791515985,-0.07113973640259562,0.011298438054472582,0.015794180953284536,-0.1236506719649124,-0.009646912370702237,0.005122451397090955,0.17647979888987728,-0.028039183255187543,0.2881420164317123,0.03731215502505961,0.15549259013292324,-0.06413909601168795,-0.3409249096088118,-0.024295169155971203,0.2893370574811363,0.040182305813267885,0.4922898061767614,-0.32220027284968067,-0.2130436183750076,-0.15804991316415454,0.10867371880525824,-0.01775700400877677,-0.00894359611290826,0.21153172099382644,-0.04587864711618417,0.0472548678697255,0.05784440554361517,-0.011007138068588228,5.349602593113823e-17,7.65436131343767
VulSD,-0.16711027404816042,0.06409306545504927,-0.09664284983173423,-0.37141871383311514,0.001566148349323122,-0.33466663990580386,-0.010138846263664883,0.015819056024037364,-0.26442828160380116,-0.022168463821145172,0.004665576153158289,0.06064453658777362,0.13091626734810055,0.07869066219391309,-0.2434495113691632,-0.07431185456478212,-0.1737934967591239,0.11023037448073214,0.1681797659041509,-0.19574347154772226,0.3283900736828033,0.044110143279920175,-0.1272379965854335,-0.026156779069267194,-0.40652256141495063,-0.3532401896276873,-0.08274350574269386,0.10110057904091815,0.0557893094262301,0.015780388562715762,-8.487176791270284e-17,6.841793015644867
intervals,0.14869939625138662,-0.04983869376395896,-0.13771553344935214,-0.2767218082623176,0.04082779412695421,0.16692052926418519,-0.2877725391728314,0.26321254736558425,0.004891441002247833,-0.2673654801464761,-0.4115882622285343,0.43458168231410804,-0.19856540407397705,-0.18383787576804048,-0.21703930396063764,-0.06740760543935173,0.22435069080885753,-0.10568009333132515,0.005276759073755808,0.23330713496791655,-0.04209784859137044,0.05478729567612312,0.11506593813382578,0.010838416614653172,-0.06687338771610417,-0.006381566393575809,-0.06277924290453361,0.024059543864689295,-0.021026585315929488,0.004893008312876397,-1.0310343448993343e-16,6.080825695052845
Clust,0.13477385945229517,0.12820561001672706,0.09703541306415352,0.31753687338761494,-0.0650867189731111,-0.2873075259682144,-0.12586859921721857,0.07948987837627332,-0.4286489549330297,-0.07610419017841064,-0.16675671401843234,0.005032461796158479,-0.017225127735894047,-0.5440017831407475,0.22322744350353185,0.09594122533895492,0.062348416252137474,0.25083539036069746,0.07530448733195444,-0.20519847203140185,-0.09151234367514814,-0.0908897624404429,0.06525702838270053,-0.1551636380145681,0.0582369066267557,-0.08200635379231562,-0.0104639267559101,0.009774588304973946,-0.06053711762019172,-0.006053604571777596,3.1160896435349904e-17,5.594397235275246
GenSD,-0.13292897049009053,-0.0059686746986768345,0.4538113703032497,-0.10233495016813049,-0.02166322683565403,-0.03415704380129108,-0.17704519696897655,0.140779854723953,0.020613935008221423,-0.2251622250001359,0.14882360831551558,0.06886960493293527,0.164349930962322,-0.06692089151386744,-0.22591220914559787,-0.12396961018039429,-0.4393123525557286,0.0703223881332811,-0.1332787352249312,-0.08166827320248167,-0.19845591254132908,0.06032986545748729,0.3405529742578896,0.27050442315810863,0.26380529336727193,-0.07589736878885829,0.05992587387815275,0.008729708156505823,0.05745846540176813,0.01729703414809406,2.78319227033395e-16,5.397334835763195
MaxSim,0.12815919460886985,0.13209088113245737,0.2932957683102433,0.15489973021554274,-0.035156981690856855,-0.09636727998724884,0.22143127759472725,-0.23067620725433302,-0.16538081416790895,0.45684544452910125,-0.020087476013270097,0.5595661856199782,0.038609718129625735,0.18071491270543227,-0.1287591869956798,-0.03577921978981653,0.18741651063435985,-0.04724036395196714,0.042173507787189354,0.11574014663621188,-0.11391696111491738,0.029463848003391434,0.13268577636352052,0.1074090991284023,-0.010330445630914956,-0.19384653987110323,0.03594711968625258,-0.08520925073640119,-0.0025305995655341413,7.226366275821401e-5,-8.870867371323741e-17,5.330003288759595
