fw_ID,model,dist_model,outcome,failed
maxent_46_10,MaxEnt,5.38073312301629,Equilibrium,FALSE
atn_47_10,ATN,4.306836915546219,Equilibrium,FALSE
adbm_47_10,ADBM,2.7166568148247334,Equilibrium,FALSE
niche_47_10,Niche,3.210447411716905,Equilibrium,FALSE
cascade_47_10,Cascade,3.4117125504713686,Equilibrium,FALSE
maxent_47_10,MaxEnt,3.7151951091864186,Equilibrium,FALSE
ltm_48_10,LTM,4.593797372576851,Equilibrium,FALSE
atn_48_10,ATN,5.066345932626655,Equilibrium,FALSE
adbm_48_10,ADBM,3.188775191705537,Equilibrium,FALSE
niche_48_10,Niche,3.5143648966486465,Equilibrium,FALSE
cascade_48_10,Cascade,3.6263000247346935,Equilibrium,FALSE
random_48_10,Random,2.7614525691635987,Equilibrium,FALSE
maxent_48_10,MaxEnt,3.23816514749936,Equilibrium,FALSE
ltm_49_10,LTM,3.545799804891494,Equilibrium,FALSE
atn_49_10,ATN,3.4929820354304018,Equilibrium,FALSE
adbm_49_10,ADBM,3.1220485699058123,Equilibrium,FALSE
niche_49_10,Niche,4.390516431472166,Equilibrium,FALSE
cascade_49_10,Cascade,3.2910468061213134,Equilibrium,FALSE
maxent_49_10,MaxEnt,4.22607456165579,Equilibrium,FALSE
ltm_50_10,LTM,2.9839813715241332,Equilibrium,FALSE
adbm_50_10,ADBM,3.8259233715120318,Equilibrium,FALSE
niche_50_10,Niche,5.376440958473195,Equilibrium,FALSE
cascade_50_10,Cascade,3.6340301349496187,Equilibrium,FALSE
random_50_10,Random,2.482512682113174,Equilibrium,FALSE
maxent_50_10,MaxEnt,4.166614799794884,Equilibrium,FALSE
ltm_51_10,LTM,2.7515877077192523,Equilibrium,FALSE
atn_51_10,ATN,4.036724380613602,Equilibrium,FALSE
adbm_51_10,ADBM,2.0730291488017447,Equilibrium,FALSE
niche_51_10,Niche,3.5366653973922286,Equilibrium,FALSE
cascade_51_10,Cascade,4.0417005575125975,Equilibrium,FALSE
maxent_51_10,MaxEnt,4.192065587238612,Equilibrium,FALSE
ltm_52_10,LTM,4.855060776783481,Equilibrium,FALSE
atn_52_10,ATN,4.55871485726119,Equilibrium,FALSE
niche_52_10,Niche,4.633317216413943,Equilibrium,FALSE
cascade_52_10,Cascade,3.5420368113371916,Equilibrium,FALSE
ltm_53_10,LTM,3.0932438718422834,Equilibrium,FALSE
atn_53_10,ATN,3.333280011112161,Equilibrium,FALSE
adbm_53_10,ADBM,2.8377939754722594,Equilibrium,FALSE
